City,Lat,Lon,Temp,HUM,Cloud,Wind
Nara,34.6851,135.8049,71.49,63,100,3.94
Sistranda,63.7256,8.834,64.36,85,95,5.23
Wukari,7.85,9.7833,80.42,76,69,5.01
Hithadhoo,-0.6,73.0833,83.16,73,100,9.35
Ankara,39.9199,32.8543,62.2,80,40,2.3
Vaini,-21.2,-175.2,68.16,94,20,8.05
Codrington,-38.2667,141.9667,48.49,91,8,8.3
Punta Arenas,-53.15,-70.9167,39.31,81,0,8.05
Bozoum,6.3193,16.3799,77.34,60,75,1.1
Ithaki,38.3642,20.7185,71.29,71,30,4.63
Leninskoye,41.7589,69.3864,73.33,33,0,5.3
Salalah,17.0151,54.0924,84.29,84,75,9.22
Egvekinot,66.3167,-179.1667,33.69,86,100,2.1
Tiksi,71.6872,128.8694,34.66,88,100,3.33
New Norfolk,-42.7826,147.0587,56.75,87,100,3.11
Tuktoyaktuk,69.4541,-133.0374,48.2,66,40,8.05
Kavaratti,10.5669,72.642,83.79,73,96,14.74
Avarua,-21.2078,-159.775,77.05,61,40,11.5
Busselton,-33.65,115.3333,51.08,79,58,5.64
Barrow,71.2906,-156.7887,39.22,81,90,10.36
Hauterive,46.0901,3.4459,75.96,89,20,4.56
Morondava,-20.2833,44.2833,70.14,77,0,10.58
Cape Town,-33.9258,18.4232,59.09,93,90,1.99
Beringovskiy,63.05,179.3167,38.3,96,100,1.83
Pevek,69.7008,170.3133,33.01,87,16,2.21
Castro,-24.7911,-50.0119,59.81,95,100,5.32
Butembo,0.15,29.2833,60.75,68,16,4.27
Hailar,49.2,119.7,51.35,71,4,4.54
Tasiilaq,65.6145,-37.6368,41.16,93,100,6.51
Mondlo,-27.983,30.7177,48.0,86,18,1.21
Saint-Philippe,-21.3585,55.7679,72.95,81,35,11.7
Rikitea,-23.1203,-134.9692,72.68,69,100,15.77
Hermon,44.8101,-68.9134,71.56,33,40,1.99
Santa Cruz De La Palma,28.6835,-17.7642,71.74,83,0,14.97
Sioux Lookout,50.1001,-91.917,64.78,88,90,4.61
Yellowknife,62.456,-114.3525,63.12,48,75,12.66
Santa Luzia,-19.7697,-43.8514,78.94,52,40,9.22
Nikolskoye,59.7035,30.7861,66.09,64,99,4.81
Khatanga,71.9667,102.5,35.49,91,100,17.36
Dikson,73.5069,80.5464,28.2,89,99,13.65
Mehriz,31.5917,54.4318,88.3,12,0,3.65
Pokhara,28.2333,83.9833,71.58,88,99,4.23
Puerto Ayora,-0.7393,-90.3518,80.56,89,42,5.99
Anshun,26.25,105.9333,61.07,93,100,2.3
Hilo,19.7297,-155.09,81.28,100,90,0.0
Metaxades,41.4204,26.225,68.38,85,21,4.32
Albany,42.6001,-73.9662,82.62,39,60,6.91
Hasaki,35.7333,140.8333,64.29,78,1,5.97
La Paz,-16.5,-68.15,58.98,15,75,13.8
Ios,36.7333,25.2833,75.06,61,0,1.99
Vao,-22.6667,167.4833,72.21,70,100,13.85
Ushuaia,-54.8,-68.3,38.82,81,75,4.61
Alofi,-19.0595,-169.9187,73.29,68,2,4.61
Yangshe,31.8899,120.6052,76.03,90,100,1.01
Kahului,20.8947,-156.47,79.86,78,40,20.71
Alice Springs,-23.7,133.8833,33.35,69,0,5.75
Ponta Do Sol,32.6667,-17.1,79.43,64,4,3.09
Hobart,-42.8794,147.3294,57.02,95,90,9.22
Los Andes,-32.8337,-70.5983,64.9,24,4,4.63
Veraval,20.9,70.3667,84.92,78,35,16.67
Karratha,-20.7377,116.8463,74.55,59,99,4.56
College,64.8569,-147.8028,62.1,63,75,6.91
Pasni,25.2631,63.471,84.96,78,86,9.75
Mahebourg,-20.4081,57.7,75.49,73,75,9.22
Mar Del Plata,-38.0023,-57.5575,59.09,72,20,5.99
Namibe,-15.1961,12.1522,73.74,59,0,7.9
Ribeira Grande,38.5167,-28.7,70.2,88,75,9.22
Kodiak,57.79,-152.4072,47.71,93,90,16.11
Orotukan,62.2667,151.7,41.56,78,98,7.29
Atuona,-9.8,-139.0333,78.66,79,29,12.46
Portland,45.5234,-122.6762,65.28,55,75,3.0
Saint-Pierre,-21.3393,55.4781,73.04,83,75,14.97
Makakilo City,21.3469,-158.0858,80.92,62,20,11.5
Kwinana,-32.25,115.7667,59.23,86,82,5.44
Chuy,-33.6971,-53.4616,61.65,86,87,6.69
Qaanaaq,77.484,-69.3632,40.93,78,50,7.4
Broken Hill,-31.95,141.4333,51.51,82,90,10.36
Kirakira,-10.4544,161.9205,80.67,83,80,10.85
San Policarpo,12.1791,125.5072,78.75,85,100,5.03
Sydney,-33.8679,151.2073,45.72,95,20,1.01
Xichang,27.8964,102.2634,63.86,78,99,1.25
Jalu,29.0331,21.5482,79.74,36,96,21.16
Panama City,8.9936,-79.5197,89.17,73,20,8.05
Vanimo,-2.6741,141.3028,75.51,87,72,4.79
Mataura,-46.1927,168.8643,36.81,98,7,1.48
Clyde River,70.4692,-68.5914,39.43,75,20,33.38
Vestmannaeyjar,63.4427,-20.2734,44.51,85,90,13.33
Penzance,50.1186,-5.5371,61.81,96,93,12.39
Kapaa,22.0752,-159.319,80.58,72,75,7.0
Kuito,-12.3833,16.9333,59.2,43,100,2.84
Port Blair,11.6667,92.75,82.8,82,100,20.2
Maningrida,-12.0667,134.2667,60.1,80,100,8.34
Pervomayskaya,43.4033,45.5261,64.2,88,0,4.47
Fare,-16.7,-151.0167,80.24,79,0,6.96
Ciawi,-7.5117,107.9767,67.26,92,69,3.11
Rafsanjan,30.4067,55.9939,89.06,10,0,14.12
Pozo Colorado,-23.4923,-58.7972,79.48,49,13,11.43
East London,-33.0153,27.9116,64.49,60,0,6.55
Bage,-31.3314,-54.1069,69.58,64,20,6.91
Torbay,47.6666,-52.7314,38.57,97,90,18.41
Hermanus,-34.4187,19.2345,55.9,86,70,8.03
Airai,-8.9266,125.4092,57.45,95,100,2.71
Caravelas,-17.7125,-39.2481,73.85,81,5,4.52
Vuktyl,63.8567,57.3094,54.64,54,49,5.35
Zaysan,47.4667,84.8667,58.8,84,100,5.26
Wenling,28.3669,121.36,77.92,97,100,3.87
Katsuura,35.1333,140.3,71.11,78,15,3.36
Diego De Almagro,-26.3667,-70.05,75.04,15,91,9.1
Bathsheba,13.2167,-59.5167,86.61,54,20,19.57
Kyren,51.6828,102.1408,52.75,92,100,4.68
Touros,-5.1989,-35.4608,83.3,71,91,16.08
Kamenka,51.3223,42.7678,60.4,88,81,6.6
Bredasdorp,-34.5322,20.0403,56.52,94,99,1.14
Cidreira,-30.1811,-50.2056,61.83,98,100,5.5
Marfino,55.7028,37.3822,57.45,94,75,11.18
Port Alfred,-33.5906,26.891,65.21,53,0,7.52
Pangnirtung,66.1451,-65.7125,37.4,81,90,17.27
Savelugu,9.6244,-0.8253,86.02,52,67,7.38
Hofn,64.2539,-15.2082,46.65,90,100,22.24
Port Lincoln,-34.7333,135.8667,54.16,73,99,1.48
Bereznik,62.8551,42.7072,58.46,57,11,3.18
Katobu,-4.9408,122.5276,73.72,95,55,3.71
Oktyabrskoye,43.0645,44.7417,62.74,88,100,4.47
Bethel,41.3712,-73.414,85.1,52,1,10.36
Port Shepstone,-30.7414,30.455,63.07,82,0,7.83
Laguna,38.421,-121.4238,75.87,40,1,1.99
Kazanskaya,45.4106,40.4361,60.3,85,4,1.7
Iquique,-20.2208,-70.1431,62.64,73,40,8.7
Cherskiy,68.75,161.3,38.61,71,99,15.99
Vestmanna,62.1564,-7.1664,49.12,100,90,8.05
Bluff,-46.6,168.3333,42.55,84,21,1.7
Duku,11.2361,4.9073,85.1,53,25,2.33
Olafsvik,64.8945,-23.7142,43.5,83,100,11.92
Kungurtug,50.5994,97.5228,49.06,95,97,1.74
Chokurdakh,70.6333,147.9167,41.94,54,37,6.96
San Jose De Rio Tinto,14.9333,-85.7,87.03,47,84,4.88
Tessalit,20.1986,1.0114,100.62,8,58,6.98
Bengkulu,-3.8004,102.2655,74.34,91,69,4.68
Saint-Joseph,-21.3667,55.6167,71.96,79,16,12.53
Pitimbu,-7.4706,-34.8086,81.19,72,25,12.08
Puerto Ayacucho,5.6639,-67.6236,74.82,94,100,2.21
Dicabisagan,17.0818,122.4157,79.03,85,99,5.59
Kushiro,42.975,144.3747,54.7,91,96,2.77
Axim,4.8699,-2.2405,78.01,86,100,5.37
Klyuchi,52.2667,79.1667,49.41,61,2,9.75
Port Elizabeth,-33.918,25.5701,62.96,58,0,4.52
Provideniya,64.3833,-173.3,35.71,87,90,8.95
Zhezkazgan,47.8043,67.7144,63.03,62,0,1.74
Taveta,-3.3963,37.6736,64.98,84,23,4.07
Kamaishi,39.2667,141.8833,63.61,70,9,8.97
Khabary,53.6259,79.5345,45.82,73,68,8.01
Flinders,-34.5833,150.8552,43.88,91,67,1.01
Humberto De Campos,-2.5983,-43.4611,74.57,96,100,2.73
Umm Lajj,25.0213,37.2685,86.97,45,0,5.14
Denpasar,-8.65,115.2167,76.66,94,40,3.44
Kieta,-6.2167,155.6333,78.55,85,99,4.27
Kavieng,-2.5744,150.7967,82.54,76,91,16.67
Faanui,-16.4833,-151.75,81.07,74,0,7.58
Saint George,37.1041,-113.5841,84.63,11,1,5.99
Berlevag,70.8578,29.0864,57.0,82,75,16.11
Saskylakh,71.9167,114.0833,46.27,88,100,13.29
Agadez,19.75,10.25,94.21,9,3,7.11
Klaksvik,62.2266,-6.589,50.92,98,100,19.13
Fethiye,36.6217,29.1164,69.67,75,4,3.87
Aswan,24.0934,32.907,93.34,12,0,8.75
Kaitangata,-46.2817,169.8464,38.44,94,9,3.13
Baruun-Urt,46.6806,113.2792,62.15,25,100,8.03
Tandil,-37.3217,-59.1332,58.1,50,2,7.0
Iqaluit,63.7506,-68.5145,37.13,74,90,21.0
Isangel,-19.55,169.2667,72.18,75,100,8.72
Xining,36.6167,101.7667,56.3,82,100,3.15
Jamestown,42.097,-79.2353,86.85,48,20,5.99
Butaritari,3.0707,172.7902,83.48,73,90,14.0
Olga,43.7444,135.2892,57.06,75,100,4.27
Thompson,55.7435,-97.8558,59.16,67,90,10.36
Pietermaritzburg,-29.6168,30.3928,57.76,93,3,3.22
Rezh,57.37,61.4043,48.13,74,9,1.92
Nanning,22.8167,108.3167,79.25,93,99,3.44
Ulladulla,-35.35,150.4667,48.78,93,100,0.85
Palmer,42.1584,-72.3287,84.47,37,75,1.01
Pyapon,16.2833,95.6833,77.56,90,100,8.03
Kozulka,50.0351,23.797,61.09,90,96,5.23
Conil,44.9673,3.7177,52.95,92,1,1.68
Honningsvag,70.9821,25.9704,48.88,88,100,11.68
Port Macquarie,-31.4333,152.9167,37.36,78,91,8.75
Makueni,-1.8041,37.6203,61.14,77,49,1.61
Kapit,2.0167,112.9333,72.54,99,95,1.14
Kulhudhuffushi,6.6221,73.07,82.85,75,7,13.42
Gamba,-2.65,10.0,75.07,93,100,4.32
Darnah,32.767,22.6367,70.97,79,29,11.61
Mulege,26.8833,-111.9833,94.5,26,98,13.11
Aljezur,37.3191,-8.8033,64.4,80,0,10.6
Komsomolskiy,40.4272,71.7189,77.72,29,1,6.91
Arraial Do Cabo,-22.9661,-42.0278,73.36,88,75,13.8
Bambous Virieux,-20.3428,57.7575,75.45,73,75,9.22
Ayagoz,47.9714,80.4392,52.77,84,58,7.23
Lata,40.1629,-8.3327,66.34,79,51,3.33
Adrar,20.5022,-10.0711,102.22,9,20,9.4
Savannah Bight,16.45,-85.85,89.65,78,85,22.93
Kharp,66.8014,65.8081,53.11,69,100,8.79
Saint-Tite,46.7334,-72.5658,68.85,37,65,6.64
Sitka,57.0531,-135.33,53.49,71,90,4.61
Corinto,37.9407,22.9573,74.89,70,10,4.27
Port Hardy,50.6996,-127.4199,51.98,93,75,5.75
Khandbari,27.3747,87.2039,71.67,90,85,1.57
San Patricio,28.017,-97.5169,93.29,57,100,15.93
Paita,-5.0892,-81.1144,79.36,72,11,18.9
Usinsk,65.9939,57.5281,57.94,53,100,11.41
Fallon,39.4735,-118.7774,63.43,15,20,6.91
Karoi,-16.8099,29.6925,52.5,68,0,3.13
Mandali,33.7499,45.5541,87.55,13,0,11.27
Cabo San Lucas,22.8909,-109.9124,103.51,27,1,11.5
Sambava,-14.2667,50.1667,69.22,81,0,9.86
San Quintin,30.4833,-115.95,68.41,57,67,21.14
Carnarvon,-24.8667,113.6333,60.87,7,75,6.91
Lagos,6.5833,3.75,84.52,85,16,4.56
Tapiramuta,-11.8472,-40.7914,72.64,58,100,4.52
Torzhok,57.0436,34.9622,57.42,77,100,2.39
Lorengau,-2.0226,147.2712,81.01,81,63,10.42
Birin,26.8865,88.0718,63.32,92,100,3.71
Ornskoldsvik,63.2909,18.7153,66.02,94,75,6.91
Sungaipenuh,-2.0833,101.3833,62.01,96,58,2.3
Pringsewu,-5.3582,104.9744,72.54,97,9,1.21
Tommot,58.9564,126.2925,49.03,92,100,2.53
Upata,8.0086,-62.3989,81.34,65,29,8.5
Simpang,-1.2667,104.0833,74.5,95,93,2.39
Lebu,-37.6167,-73.65,54.07,69,78,3.11
Nizwa,22.9333,57.5333,96.08,31,24,2.91
Cap Malheureux,-19.9842,57.6142,75.69,68,46,7.0
Talnakh,69.4865,88.3972,31.26,93,99,3.69
Upernavik,72.7868,-56.1549,35.51,85,0,7.56
Batagay-Alyta,67.8006,130.4114,40.35,73,36,5.3
Itarema,-2.9248,-39.9167,81.0,75,38,12.26
Mahanoro,-19.9,48.8,65.88,88,65,6.33
Baykit,61.67,96.37,35.02,95,75,3.44
Ballina,-28.8667,153.5667,50.18,83,64,3.44
Bac Lieu,9.285,105.7244,79.61,82,100,11.21
Coihaique,-45.5752,-72.0662,42.75,81,90,5.75
Geraldton,-28.7667,114.6,63.01,94,75,0.0
Bacalar,18.6667,-88.3833,80.71,83,75,11.5
Hovd,48.0056,91.6419,57.88,58,78,2.46
La Asuncion,11.0333,-63.8628,82.13,83,90,10.36
Alta Floresta,-9.8756,-56.0861,91.22,43,20,3.44
Hualmay,-11.0964,-77.6139,67.95,75,86,12.5
Uruzgan,32.8333,66.0,78.76,8,0,5.57
Victoria,22.2855,114.1577,84.38,88,100,1.99
Vardo,70.3705,31.1107,58.75,71,0,8.05
Saint-Georges,12.0564,-61.7485,85.68,70,20,19.57
Umm Bab,25.2142,50.8072,92.88,46,0,11.54
Stein,49.4167,11.0167,65.25,90,20,2.3
Trairi,-3.2778,-39.2689,83.34,65,16,12.24
Waingapu,-9.6567,120.2641,73.62,85,100,4.92
Sao Filipe,14.8961,-24.4956,73.4,83,100,8.66
Reinosa,42.9996,-4.138,55.56,94,92,4.34
Evanston,42.0411,-87.6901,92.8,58,20,1.01
Kiyasovo,56.3491,53.1244,51.4,84,16,7.83
Muravlenko,63.7898,74.523,47.3,67,90,1.86
Inhambane,-23.865,35.3833,64.38,94,20,0.0
Atar,20.5169,-13.0499,104.65,12,88,7.87
Praya,14.9215,-23.5087,79.34,65,20,12.66
Tura,25.5198,90.2201,73.87,98,100,4.07
Lagoa,39.05,-27.9833,66.27,91,10,9.91
Biloela,-24.4167,150.5,45.1,39,100,2.57
Cehegin,38.0924,-1.7985,71.65,44,58,6.58
Lompoc,34.6391,-120.4579,83.01,56,1,17.27
Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,71,83,2.24
Qaqortoq,60.7167,-46.0333,52.3,79,100,5.53
Whitehorse,60.7161,-135.0538,65.1,25,20,5.01
Mount Gambier,-37.8333,140.7667,55.31,94,96,8.05
Silver City,32.7701,-108.2803,89.67,6,1,10.0
Manzhouli,49.6,117.4333,53.11,68,1,4.05
Mount Isa,-20.7333,139.5,47.97,46,33,3.44
Los Llanos De Aridane,28.6585,-17.9182,67.75,83,0,14.97
Iisalmi,63.5592,27.1907,68.02,57,53,4.68
Jijiang,29.2906,106.2542,72.19,86,100,1.43
Ilulissat,69.2167,-51.1,35.62,93,75,5.75
Dunmore Town,25.5,-76.65,79.97,72,13,8.55
Tambura,5.6,27.4667,75.47,51,12,1.88
Omsukchan,62.5333,155.8,37.27,94,100,3.38
Taltal,-25.4,-70.4833,66.83,66,38,4.99
Opuwo,-18.0607,13.84,62.53,32,0,4.41
Mersing,2.4312,103.8405,76.91,94,100,3.44
Meuselwitz,51.05,12.3,68.14,95,75,3.44
Godda,24.8333,87.2167,85.1,71,100,6.49
Brae,60.3964,-1.353,55.31,94,100,12.19
